,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Population,4903185,740995,55641,7278717,3017804,39512223,5758736,3565287,973764,705749,21477737,10617423,1415872,1787065,12671821,6732219,3155070,2913314,4467673,4648794,1344212,6045680,6892503,9986857,5639632,2976149,6626371,1068778,1934408,3080156,1359711,8882190,2096829,19453561,10488084,762062,55144,11689100,3956971,4217737,12801989,1059361,5148714,884659,6829174,28995881,3205958,623989,8535519,7614893,1792147,5822434,578759
1/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
3/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/4/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
3/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
3/8/20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3/9/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3/10/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
3/11/20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3/12/20,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
3/13/20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
3/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
3/15/20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3/16/20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,0
3/17/20,0,0,0,0,0,5,1,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0
3/18/20,0,0,0,0,0,4,0,1,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,3,0,25,0,0,0,1,0,2,1,0,0,0,0,3,0,0,0,12,0,0,0
3/19/20,0,0,0,0,0,4,2,2,0,0,2,7,0,0,3,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,6,0,28,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,6,0,3,0
3/20/20,0,0,0,0,0,4,0,1,0,1,2,4,0,0,1,4,0,0,0,4,0,1,1,1,0,0,2,0,0,1,0,3,0,55,0,0,0,5,0,0,0,0,2,0,1,2,0,0,0,10,0,1,0
3/21/20,0,0,0,1,0,3,1,0,0,-1,2,6,0,0,1,5,0,1,1,6,0,0,0,3,1,0,0,0,0,0,0,6,0,52,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,11,0,0,0
3/22/20,0,0,0,1,0,9,1,4,0,2,0,5,0,0,3,5,0,0,0,0,0,1,4,6,0,0,0,0,0,0,0,7,0,54,0,0,0,3,1,1,2,0,0,0,1,2,1,0,3,3,0,0,0
3/23/20,0,0,0,0,0,6,0,2,0,0,5,0,0,0,3,5,0,0,1,15,0,0,4,6,0,0,1,0,0,2,1,11,0,102,0,0,0,4,0,0,2,0,2,0,0,1,0,3,0,12,0,0,0
3/24/20,0,0,0,3,2,9,4,2,0,0,0,7,1,0,4,5,0,0,0,11,0,1,2,13,0,0,4,0,0,0,0,20,0,124,0,0,0,4,1,3,2,0,0,0,0,5,0,2,3,7,0,2,0
3/25/20,1,1,0,1,0,18,9,7,0,0,5,8,-1,0,3,6,1,1,1,19,0,0,4,20,0,2,1,0,0,2,0,21,1,157,2,0,0,6,2,2,7,0,2,0,1,4,0,1,0,17,0,4,0
3/26/20,0,0,0,2,0,13,-1,2,0,1,6,8,0,3,7,9,0,0,0,18,0,0,10,20,1,3,0,0,0,4,0,28,0,235,1,0,0,6,2,1,3,0,2,0,0,6,0,1,1,17,0,7,0
3/27/20,3,0,0,5,1,17,12,6,1,0,6,16,0,0,8,3,2,1,2,36,1,1,10,36,2,2,0,1,0,0,0,32,0,265,1,1,0,8,1,1,4,2,4,0,3,12,0,1,0,7,0,2,0
3/28/20,0,1,0,2,2,48,13,6,-1,1,19,5,0,1,13,12,0,1,2,18,0,0,9,23,1,5,4,0,2,0,1,51,0,352,1,0,0,11,7,1,12,1,2,0,1,7,0,2,3,31,0,3,0
3/29/20,6,0,0,2,1,-18,3,1,0,1,2,11,0,1,19,18,1,2,0,14,2,5,4,27,4,1,3,0,0,5,0,27,1,382,2,0,0,19,1,0,7,2,1,0,1,9,1,0,7,10,0,7,0
3/30/20,0,1,0,3,1,20,4,2,0,4,7,7,0,1,7,15,2,1,2,34,0,5,8,56,1,2,0,4,0,0,1,49,0,412,0,1,0,13,0,3,9,3,2,0,6,11,2,0,-5,7,1,6,0
3/31/20,13,0,0,5,1,24,18,33,3,0,22,24,0,2,26,21,1,1,0,54,2,3,33,79,2,4,3,0,1,11,0,98,2,489,5,1,0,8,7,2,13,2,4,0,9,11,1,1,12,20,0,8,0
4/1/20,4,0,0,7,2,27,10,16,10,0,2,28,1,1,42,22,2,1,7,34,0,13,33,78,5,2,5,1,1,5,0,110,1,626,2,0,0,17,7,1,11,1,4,1,1,23,0,3,7,85,0,11,0
4/2/20,5,0,0,3,2,41,18,27,3,3,77,24,0,0,22,22,2,3,13,37,2,5,32,83,1,4,8,0,1,7,0,205,1,727,7,0,0,18,4,2,17,4,5,0,12,13,2,1,7,30,1,13,0
4/3/20,6,0,0,9,0,26,14,19,1,3,6,21,2,0,47,32,0,5,3,60,2,7,38,65,4,3,13,-1,1,5,2,136,4,737,6,0,1,22,4,1,13,3,3,0,5,22,0,0,5,29,0,19,0
4/4/20,6,2,0,8,2,20,15,34,0,6,25,17,0,1,34,25,3,0,6,39,1,11,24,67,2,6,6,1,0,3,2,242,1,831,7,0,0,19,4,0,38,9,6,0,9,19,1,3,6,29,0,16,0
4/5/20,1,1,0,12,2,64,14,24,2,1,26,10,1,0,30,34,4,3,5,68,0,13,15,90,5,8,13,0,2,0,2,126,1,924,4,0,0,23,4,5,15,2,4,0,3,33,0,2,0,28,1,4,0
4/6/20,4,0,0,1,0,33,10,17,5,2,15,18,1,0,33,25,7,3,0,35,0,24,29,118,1,8,8,0,1,0,0,152,0,1025,7,0,0,20,5,0,29,7,4,2,12,20,5,1,14,24,1,10,0
4/7/20,15,0,0,8,2,47,29,71,4,-2,47,100,0,3,73,37,0,10,20,70,2,12,96,124,4,9,20,0,1,26,0,296,1,1271,8,1,0,18,16,2,67,5,3,2,7,12,0,0,0,24,0,7,0
4/8/20,2,1,0,16,0,66,14,49,4,5,26,33,0,2,82,29,2,4,0,70,2,21,77,120,5,7,15,0,2,0,4,341,0,943,13,0,1,33,12,4,72,10,0,0,8,26,0,0,0,15,0,17,0
4/9/20,4,0,0,9,3,54,33,54,2,5,45,17,1,3,66,36,2,-4,8,50,2,14,70,127,11,9,16,0,2,9,8,276,3,1052,10,1,0,25,1,11,33,7,16,0,14,25,0,0,43,18,1,14,0
4/10/20,10,0,0,8,0,39,24,68,2,6,36,37,0,6,69,25,2,16,17,53,1,33,96,207,7,6,10,0,1,9,0,279,1,912,7,1,0,20,8,0,76,11,5,0,4,26,4,1,12,17,0,10,0
4/11/20,12,1,0,11,4,19,24,46,8,9,48,13,2,1,80,20,3,2,0,51,2,35,87,116,7,11,12,0,2,12,1,325,2,936,6,1,0,26,6,4,83,12,8,0,8,31,1,1,9,23,0,13,0
4/12/20,1,0,0,8,2,36,15,60,5,3,23,4,1,2,43,29,7,11,7,34,0,30,70,105,6,3,12,0,0,10,1,242,7,956,0,0,0,31,2,4,55,9,2,0,0,22,0,2,11,15,1,6,0
4/13/20,6,0,0,7,2,66,17,48,5,2,38,32,0,0,78,35,0,-2,16,44,0,26,88,132,0,2,10,1,0,2,0,167,0,989,5,1,0,36,3,1,38,9,0,0,3,35,-5,1,8,20,2,12,1
4/14/20,15,1,0,11,3,65,21,69,7,15,72,60,0,6,70,46,8,16,-7,129,1,40,0,175,9,13,18,0,3,12,2,415,5,881,18,0,0,35,9,2,106,8,15,0,15,26,5,1,5,17,1,9,0
4/15/20,4,0,0,12,1,96,27,197,7,5,25,27,0,6,81,38,4,-4,9,90,4,9,264,157,8,11,17,0,0,5,7,410,5,769,18,1,0,36,15,3,87,17,9,0,0,44,2,0,41,10,1,10,0
4/16/20,15,0,0,9,4,91,18,103,3,9,72,35,0,2,123,34,7,7,14,53,3,8,0,80,0,7,14,0,1,6,0,422,0,791,20,0,0,34,8,6,74,14,5,1,12,36,0,4,13,21,2,11,1
4/17/20,15,0,0,19,0,82,17,65,6,5,57,63,0,0,60,36,4,4,8,57,2,15,137,239,24,11,13,1,3,5,5,371,8,477,27,0,0,48,5,6,83,21,5,0,5,42,3,2,23,19,4,8,0
4/18/20,5,0,0,-3,1,100,22,50,10,5,23,23,0,2,127,28,10,2,7,54,3,87,159,85,10,12,7,2,0,9,1,288,9,524,10,0,0,35,0,2,121,15,3,0,1,23,2,3,27,17,0,16,0
4/19/20,4,0,0,4,1,40,9,41,4,5,26,14,1,1,31,37,1,7,2,29,2,40,302,91,13,7,6,0,4,7,0,336,2,534,13,0,0,31,4,2,239,11,1,0,6,23,2,0,19,24,2,9,0
4/20/20,6,0,0,7,2,39,27,204,10,9,48,88,0,1,59,38,4,9,8,32,1,121,0,86,9,10,21,0,5,1,4,173,3,985,18,0,0,43,3,1,77,10,3,0,4,21,1,0,23,19,6,4,0
4/21/20,20,0,0,17,1,65,36,92,5,7,45,23,0,3,119,50,4,7,17,77,1,70,255,109,17,14,18,2,0,4,0,296,0,617,27,4,0,38,21,3,254,18,1,1,5,40,4,2,24,16,2,7,0
4/22/20,13,0,0,23,0,140,23,121,13,15,26,50,2,3,97,51,7,3,14,68,3,46,221,241,19,10,20,2,5,9,6,433,13,533,20,1,0,43,6,0,64,18,16,1,0,28,0,0,25,9,1,8,4
4/23/20,6,0,0,18,3,101,46,95,14,12,94,33,0,3,123,38,6,1,6,126,5,50,178,170,21,8,16,0,9,23,3,306,7,635,16,1,0,40,9,5,56,15,10,0,14,51,3,3,24,13,4,5,1
4/24/20,7,0,0,17,2,92,122,128,16,14,59,18,1,0,107,37,11,5,9,61,3,50,196,110,21,8,26,0,3,2,2,290,6,543,13,0,0,48,9,3,21,15,7,1,-2,21,4,1,38,15,1,9,0
4/25/20,0,0,0,7,1,67,10,98,8,12,9,8,0,2,80,42,5,2,5,47,0,77,174,72,23,12,14,0,0,8,0,271,9,444,11,1,0,31,6,1,53,14,9,0,8,22,2,2,26,17,0,8,0
4/26/20,10,0,0,2,3,38,4,59,13,13,20,9,1,0,58,35,6,1,3,22,3,35,169,166,28,6,17,0,6,1,7,56,6,412,19,1,0,50,1,5,28,14,8,1,4,26,0,0,12,20,2,11,0
4/27/20,9,0,0,0,0,55,18,88,13,7,13,79,2,0,50,43,9,5,5,11,1,35,104,93,14,2,21,0,0,0,0,143,0,456,16,2,0,46,2,0,81,10,3,0,3,23,0,1,11,11,0,10,0
4/28/20,14,0,0,0,6,79,30,75,11,5,83,41,0,4,142,36,9,1,12,61,0,71,150,168,15,10,14,1,0,13,0,431,6,340,23,0,0,55,10,7,162,22,15,0,4,36,0,0,32,10,4,18,0
4/29/20,14,0,0,33,0,89,30,82,12,15,47,65,0,0,90,44,12,7,9,44,1,62,252,103,18,11,16,1,0,11,0,350,7,433,19,0,0,41,7,2,316,18,39,2,7,33,4,0,30,8,0,14,0
4/30/20,16,0,0,12,4,79,11,88,6,19,50,31,0,0,140,45,14,0,6,60,1,62,157,122,24,11,19,0,14,13,12,483,11,364,24,0,0,30,8,2,97,24,13,4,4,46,1,2,30,8,3,5,0
5/1/20,17,0,0,10,3,99,44,82,12,7,46,37,0,3,102,37,8,6,6,65,2,-60,154,78,27,20,14,0,3,3,9,335,8,366,13,4,0,49,8,1,165,14,12,4,5,32,0,1,29,14,5,10,0
5/2/20,-1,0,0,0,8,54,11,97,12,9,50,8,0,1,102,44,5,2,2,23,1,171,130,155,24,10,15,0,0,9,3,230,7,293,12,1,0,42,8,5,59,24,11,0,5,31,3,1,36,12,2,7,0
5/3/20,2,0,0,32,4,38,10,0,12,11,15,7,1,0,59,36,9,2,5,19,1,30,158,34,24,12,13,0,5,3,2,154,13,285,3,1,0,43,0,0,32,21,8,0,1,23,1,2,43,12,0,11,0
5/4/20,8,0,0,0,4,64,9,120,10,7,20,62,0,0,41,39,4,12,8,52,0,36,86,87,9,7,12,0,0,7,0,63,5,339,8,0,0,29,0,0,127,18,8,0,9,26,0,-1,24,11,0,7,0
5/5/20,17,0,0,33,3,99,52,77,11,6,72,53,0,1,175,39,19,5,14,51,4,73,122,46,28,32,29,0,0,5,6,344,6,273,30,0,0,38,9,4,315,16,13,3,7,18,6,0,29,13,0,9,0
5/6/20,28,1,0,31,4,83,16,85,3,13,68,28,0,1,140,44,12,3,8,52,1,47,208,74,30,32,15,0,0,19,0,324,7,584,20,6,0,42,6,2,161,21,9,5,13,30,2,0,24,13,2,4,0
5/7/20,26,0,0,24,0,72,25,79,16,8,61,28,0,1,137,34,12,1,11,41,0,66,132,91,23,22,24,0,13,8,22,273,3,222,21,0,0,40,7,6,240,21,11,2,-1,35,3,1,32,14,1,8,0
